,Image,Title,Publisher
1,Photo 02-09-16 09 06 42.jpg,Play Framework Cookbook,Packt
2,Photo 02-09-16 09 07 58.jpg,The Pragmatic Programmer,Addison Wesley
3,Photo 02-09-16 09 09 50.jpg,Pragmatic Guide to Sass,The Pragmatic Programmers
4,Photo 02-09-16 09 10 07.jpg,Maintainable Javascript,O´REILLY
5,Photo 02-09-16 09 10 23.jpg,ActiveMQ in action,Manning
6,Photo 02-09-16 09 11 55.jpg,Agile Software Development with Scrum,
7,Photo 02-09-16 09 14 59.jpg,Rocket Surgery Made Easy,
8,Photo 02-09-16 09 15 06.jpg,NoSQL Distilled,Addison Wesley
9,Photo 02-09-16 09 15 14.jpg,Planning Extreme Programming,
10,Photo 02-09-16 09 15 21.jpg,Extreme Programming Installed,
11,Photo 02-09-16 09 15 29.jpg,DSLs in action,Manning
12,Photo 02-09-16 09 15 39.jpg,Spring in action,Manning
13,Photo 02-09-16 09 15 48.jpg,Wicket in action,Manning
14,Photo 02-09-16 09 15 57.jpg,Flex 3 in action,Manning
15,Photo 02-09-16 09 16 07.jpg,Practices of an Agile Developer,The Pragmatic Programmers
16,Photo 02-09-16 09 16 16.jpg,PostGIS in action,Manning
17,Photo 02-09-16 09 16 24.jpg,Lucene in action,Manning
18,Photo 02-09-16 09 16 33.jpg,Grails in action,Manning
19,Photo 02-09-16 09 16 42.jpg,Collective Intelligence in action,Manning
20,Photo 02-09-16 09 16 59.jpg,QWT in practice,Manning
21,Photo 02-09-16 09 17 41.jpg,Windows Azure Platform,Apress
22,Photo 02-09-16 09 19 20.jpg,Test Driven,Manning
23,Photo 02-09-16 09 19 29.jpg,LINQ in action,Manning
24,Photo 02-09-16 09 19 53.jpg,Developing Applications for the Cloud,Microsoft
25,Photo 02-09-16 09 20 03.jpg,Programming in Objective-C 2.0,Addison Wesley
26,Photo 02-09-16 09 20 19.jpg,Introducing HTML 5,
27,Photo 02-09-16 09 20 52.jpg,Game storming,O´REILLY
28,Photo 02-09-16 09 21 51.jpg,MySQL High Availability,O´REILLY
29,Photo 02-09-16 09 22 10.jpg,Apache Solr 3 Enterprise Search Server,Packt
